flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,airline_code,departure_airport_code,arrival_airport_code,flight_date,flight_time,flight_distance,passenger_capacity,ticket_price,flight_status,gate_number
QR6953,Qatar Airways,Hamad International,Kamenjane,Macedonia,4:50 AM,Frankfurt Airport,Bandung,Indonesia,24,QR,FAC,MMB,1/10/2022,12:53 AM,2135.95,232,101.18,On Time,B1
LA6492,LATAM Airlines,São Paulo/Guarulhos International,Surat Thani,Thailand,7:48 PM,Ministro Pistarini International,Xiaojiangba,China,8,LA,BWN,RAV,4/26/2022,7:15 PM,6425.42,487,138.8,Cancelled,C1
DL9737,Delta Air Lines,John F. Kennedy International,Calancuasan Norte,Philippines,3:33 PM,Hartsfield-Jackson Atlanta,Mílos,Greece,8,DL,BNG,0,8/30/2022,12:51 PM,8016.13,209,128.63,On Time,C1
IB2418,Iberia,Adolfo Suárez Madrid–Barajas,Czarna,Poland,12:57 AM,Charles de Gaulle,Taobei,China,10,IB,AKE,ISQ,6/12/2022,6:37 AM,4507.46,332,369.29,On Time,C4
AZ6961,Alitalia,Leonardo da Vinci International,La Esperanza,Mexico,2:35 PM,Charles de Gaulle,Nowa Dęba,Poland,16,AZ,PEU,PNG,6/2/2022,7:35 AM,7933.75,189,64.17,On Time,C2
ET6241,Ethiopian Airlines,Bole International,Ramalhal,Portugal,6:33 PM,Hamad International,Arauca,Colombia,2,ET,ELM,BJK,10/8/2022,8:03 AM,2010.18,466,164.32,Delayed,A1
AA5562,American Airlines,John F. Kennedy International,Tangxian,China,10:43 AM,Hartsfield-Jackson Atlanta,Kuala Lumpur,Malaysia,6,AA,AYU,OKV,7/4/2022,7:10 AM,5089.41,59,351.16,On Time,C1
AA7899,American Airlines,John F. Kennedy International,Zagoryanskiy,Russia,3:26 AM,Hartsfield-Jackson Atlanta,Xinba,China,23,AA,BIB,GPA,6/4/2022,11:05 AM,829.75,79,266.68,Delayed,A2
AA8220,American Airlines,John F. Kennedy International,Liushan,China,12:59 AM,Hartsfield-Jackson Atlanta,Turar Ryskulov,Kazakhstan,9,AA,AAC,BMC,5/29/2022,2:19 AM,9798.84,152,315.47,On Time,B2
AV5400,Avianca,El Dorado International,Örebro,Sweden,6:13 AM,O'Hare International,Nikol’sk,Russia,8,AV,NPR,ODE,6/16/2022,4:06 PM,1415.93,289,456.0,On Time,C3
LH5030,Lufthansa,Frankfurt Airport,Ganjaran,Indonesia,6:25 AM,Charles de Gaulle,Tijucas,Brazil,1,LH,MCW,YZV,12/24/2022,3:16 PM,8296.54,275,215.02,On Time,A2
AM8310,Aeroméxico,Benito Juárez International,Słupno,Poland,5:01 AM,O'Hare International,Anadia,Portugal,16,AM,PSX,MYC,11/19/2022,10:55 PM,7268.08,125,280.13,Cancelled,C3
CX9277,Cathay Pacific,Hong Kong International,Taojiahe,China,1:42 PM,Charles de Gaulle,Lokwabe,Botswana,24,CX,ICL,MBS,12/28/2022,2:53 AM,8756.96,351,382.92,On Time,C2
SK7951,SAS Scandinavian,Copenhagen Airport,Bungtiang Barat,Indonesia,9:21 AM,Munich Airport,Comagascas,Philippines,9,SK,NME,RTA,11/21/2022,2:10 AM,194.0,455,59.04,On Time,C4
NZ8208,Air New Zealand,Auckland Airport,Ust’-Isha,Russia,9:23 AM,Sydney Airport,Banjar Sengguan,Indonesia,23,NZ,RBD,TXM,8/23/2022,11:14 AM,5338.32,473,379.8,On Time,C2
TG6294,Thai Airways,Suvarnabhumi,Hanting,China,10:32 AM,Changi,Bellevue,United States,19,TG,CCG,AKI,5/24/2022,2:59 PM,1513.49,178,293.22,Delayed,C1
EK9670,Emirates,Dubai International,Banī Khallād,Tunisia,10:40 AM,Los Angeles International,Shitun,China,5,EK,YUX,VCL,12/5/2022,8:29 AM,9736.28,346,417.67,On Time,B2
QF7218,Qantas,Sydney Airport,Achoma,Peru,5:23 AM,Melbourne Airport,Pantian,China,16,QF,HOC,WMI,11/18/2022,11:08 AM,4216.11,426,466.16,On Time,C4
AF8882,Air France,Charles de Gaulle,Weizhou,China,6:45 AM,Frankfurt Airport,Popil'nya,Ukraine,9,AF,XJD,SRA,1/3/2022,5:51 AM,6628.15,344,128.61,On Time,A1
TG2641,Thai Airways,Suvarnabhumi,Siaya,Kenya,9:37 PM,Changi,Tidili Mesfioua,Morocco,8,TG,QYD,IKB,5/8/2022,11:50 AM,7398.52,78,351.67,On Time,C1
NZ2252,Air New Zealand,Auckland Airport,Huangzhawan,China,6:55 AM,Sydney Airport,Guozhuang,China,21,NZ,WSN,ONG,6/23/2022,7:28 PM,4782.86,159,153.91,On Time,C1
NZ2165,Air New Zealand,Auckland Airport,Meilin,China,10:23 AM,Sydney Airport,Le Blanc-Mesnil,France,23,NZ,XBB,PLR,9/23/2022,12:29 PM,9928.51,128,460.65,Cancelled,C4
AF1967,Air France,Charles de Gaulle,Saint Petersburg,United States,8:07 AM,Stockholm Arlanda,Turka,Ukraine,20,AF,JCB,UNA,5/29/2022,8:50 AM,7462.13,234,200.56,Delayed,C3
LA8052,LATAM Airlines,São Paulo/Guarulhos International,San Vicente,Philippines,6:02 PM,Ministro Pistarini International,Presidente Epitácio,Brazil,13,LA,DVN,WET,1/31/2022,10:15 PM,3214.64,53,166.36,Delayed,B2
SA2449,South African Airways,O.R. Tambo International,Mūsá Qal‘ah,Afghanistan,12:23 AM,Charles de Gaulle,Vellinge,Sweden,18,SA,MEV,DRJ,5/28/2022,12:34 AM,9820.45,187,239.95,On Time,C4
AM6852,Aeroméxico,Benito Juárez International,Jiuhua,China,7:50 PM,Ministro Pistarini International,Korydallós,Greece,3,AM,TKU,WPM,10/18/2022,2:54 AM,9543.4,300,459.04,Delayed,C1
WN6914,Southwest Airlines,Los Angeles International,Voznesenskoye,Russia,8:07 AM,Toronto Pearson,Ya’ngan,China,6,WN,HVD,HLN,7/3/2022,10:33 AM,3337.61,164,352.74,On Time,A3
WN9442,Southwest Airlines,Los Angeles International,Paucarcolla,Peru,6:35 AM,Stockholm Arlanda,Västra Frölunda,Sweden,21,WN,KDB,YXZ,4/26/2022,8:34 PM,9050.51,312,399.18,On Time,B2
AM6955,Aeroméxico,Benito Juárez International,Longbei,China,4:55 PM,John F. Kennedy International,Saint-Maur-des-Fossés,France,15,AM,PRD,LGR,1/31/2022,10:51 PM,8459.36,243,316.74,On Time,C3
WN1086,Southwest Airlines,Los Angeles International,Maibu,Philippines,1:53 PM,San Francisco International,Curanilahue,Chile,24,WN,JAA,YHE,12/4/2022,5:43 AM,1106.26,141,210.63,Delayed,C4
TG7442,Thai Airways,Suvarnabhumi,Mbigou,Gabon,1:55 AM,Changi,Gweedore,Ireland,10,TG,ZTU,RBJ,9/4/2022,1:04 PM,4586.89,73,432.62,Delayed,C2
KE9018,Korean Air,Incheon International,Shuanghe,China,4:23 PM,Haneda,Jindayris,Syria,15,KE,LTO,DAS,12/6/2022,3:58 PM,7739.42,207,297.02,On Time,C3
QF4801,Qantas,Sydney Airport,Akat Amnuai,Thailand,10:48 PM,Melbourne Airport,Banamba,Mali,5,QF,PDL,JGR,4/30/2022,2:41 PM,7906.26,400,272.55,On Time,A2
QR9862,Qatar Airways,Hamad International,Paiçandu,Brazil,2:47 AM,Bole International,Talas,Kyrgyzstan,15,QR,MSM,SUK,8/25/2022,4:12 AM,6535.23,103,476.39,Cancelled,B1
AV9889,Avianca,El Dorado International,Roun Satu,Indonesia,8:04 AM,O'Hare International,Baklashi,Russia,3,AV,ORM,JGB,2/18/2022,8:28 PM,7640.3,277,248.66,On Time,C1
KL1948,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Ovacik,Turkey,7:58 AM,Cape Town International,Qingshi,China,13,KL,BFU,RMS,11/21/2022,1:57 PM,6397.61,297,207.08,Cancelled,C3
AI8609,Air India,Indira Gandhi International,Karangampel,Indonesia,2:50 PM,Zurich Airport,Parung,Indonesia,6,AI,WPB,PMD,9/30/2022,5:17 PM,8081.96,225,80.42,On Time,A2
AC1283,Air Canada,Toronto Pearson,Newtown,United Kingdom,8:32 PM,John F. Kennedy International,Fort-de-France,Martinique,3,AC,PRE,ELB,8/20/2022,7:29 PM,2690.35,171,182.75,Delayed,A2
SK4004,SAS Scandinavian,Copenhagen Airport,Yuanjiazhuang,China,4:26 PM,Leonardo da Vinci International,Dayushu,China,3,SK,MXL,QNC,3/14/2022,2:44 PM,6157.51,371,228.75,On Time,B2
EK7011,Emirates,Dubai International,Muara,Indonesia,12:57 AM,Hamad International,Narva,Estonia,15,EK,YUD,YEO,4/5/2022,8:03 PM,4337.47,62,254.37,On Time,B1
NH4423,All Nippon Airways,Haneda,Svetlogorsk,Russia,1:02 AM,Incheon International,Laï,Chad,21,NH,RHV,LSC,1/5/2022,11:53 PM,6457.8,95,61.67,On Time,C2
AV9047,Avianca,El Dorado International,Lincuo,China,8:26 PM,São Paulo/Guarulhos International,San Agustin,Mexico,4,AV,ZTB,YTF,10/14/2022,2:10 PM,4584.36,149,283.94,On Time,A3
BA5939,British Airways,Heathrow,Tangkolo,Indonesia,4:51 AM,Cape Town International,Xiongzhou,China,6,BA,CFR,JED,8/22/2022,4:05 PM,6331.53,487,56.8,Delayed,B1
TG2641,Thai Airways,Suvarnabhumi,Sungaipuntik,Indonesia,11:56 PM,Changi,Dalam,Indonesia,17,TG,PFR,VND,2/14/2022,2:12 PM,9591.6,399,376.97,On Time,A2
NZ8173,Air New Zealand,Auckland Airport,Ilovka,Russia,1:49 AM,Sydney Airport,Caigangan,Philippines,17,NZ,RLA,RHV,7/27/2022,3:08 AM,1022.33,346,491.06,On Time,C4
BA9490,British Airways,Heathrow,Ampanihy,Madagascar,12:38 AM,Charles de Gaulle,Stockholm,Sweden,8,BA,DLE,IDR,3/31/2022,6:03 PM,7433.4,122,420.8,Delayed,A1
LA4035,LATAM Airlines,São Paulo/Guarulhos International,Las Lomas,Panama,10:55 AM,Hamad International,Linëvo,Russia,4,LA,ATT,MTI,4/29/2022,8:27 PM,143.94,202,147.81,On Time,C1
DL4345,Delta Air Lines,John F. Kennedy International,Frederiksberg,Denmark,4:01 AM,Copenhagen Airport,Baoshi,China,20,DL,CKI,TJQ,2/7/2022,6:45 PM,381.44,103,100.26,On Time,C4
DL4369,Delta Air Lines,John F. Kennedy International,Altuf’yevskiy,Russia,5:43 PM,Amsterdam Airport Schiphol,Ad Dann,Yemen,22,DL,0,ILO,11/28/2022,1:00 AM,6270.08,380,365.3,Delayed,A3
EK6819,Emirates,Dubai International,Quimilí,Argentina,6:49 PM,Hamad International,Piła,Poland,9,EK,KPR,JYR,3/21/2022,9:25 AM,7479.32,66,304.3,On Time,C4
IB9562,Iberia,Adolfo Suárez Madrid–Barajas,Naranjal,Paraguay,9:26 AM,Charles de Gaulle,Kuźnia Raciborska,Poland,23,IB,RET,KOE,3/20/2022,10:58 AM,332.1,470,490.69,Delayed,C1
AC9578,Air Canada,Toronto Pearson,Międzyrzecz,Poland,6:01 AM,John F. Kennedy International,Canto,Portugal,1,AC,ALZ,BLI,11/22/2022,12:29 PM,818.42,157,243.8,Delayed,C3
NH4392,All Nippon Airways,Haneda,Lishui,China,6:01 AM,Incheon International,Torrão,Portugal,1,NH,PNN,YHB,10/9/2022,3:31 PM,3357.55,223,98.01,Delayed,C3
AV3025,Avianca,El Dorado International,Kanaya,Japan,11:13 PM,O'Hare International,Palecenan,Indonesia,7,AV,UUN,FAR,10/26/2022,10:28 PM,5865.49,325,257.5,Delayed,B2
IB1849,Iberia,Adolfo Suárez Madrid–Barajas,Sangat,Philippines,8:38 PM,Chhatrapati Shivaji International,Niigata-shi,Japan,21,IB,BMV,PUN,9/22/2022,7:00 PM,3718.4,311,421.99,Delayed,B2
TG9476,Thai Airways,Suvarnabhumi,Nowa Sól,Poland,10:28 AM,Changi,Baolong,China,22,TG,DJU,WMC,5/10/2022,6:12 PM,5969.75,115,103.81,Delayed,A3
QF4565,Qantas,Sydney Airport,Xiaocheng,China,10:48 AM,Melbourne Airport,Tashi,China,7,QF,HJR,YFL,1/22/2022,1:00 PM,4100.19,270,165.13,On Time,C4
BA1149,British Airways,Heathrow,Chacarita,Costa Rica,3:04 PM,Charles de Gaulle,Kafr Zaytā,Syria,1,BA,YSV,HKA,3/20/2022,9:00 PM,3167.37,243,291.85,Cancelled,A2
DL5644,Delta Air Lines,John F. Kennedy International,Ficksburg,South Africa,11:36 PM,Denver International,Jinjiang,China,3,DL,IMK,GTF,7/28/2022,12:59 PM,9438.67,177,486.41,On Time,C4
NZ1569,Air New Zealand,Auckland Airport,Shilibu,China,3:51 PM,Sydney Airport,Sojo,Peru,2,NZ,YWA,FNU,6/9/2022,6:16 PM,784.34,381,360.8,On Time,C3
UA7792,United Airlines,Los Angeles International,Smederevo,Serbia,2:55 PM,Dallas/Fort Worth International,Tsybli,Ukraine,4,UA,PEG,BMT,8/24/2022,12:25 PM,5687.77,402,364.2,On Time,C3
AZ8666,Alitalia,Leonardo da Vinci International,Budapest,Hungary,3:57 PM,Charles de Gaulle,Maraã,Brazil,13,AZ,OKC,VLU,12/27/2022,1:03 AM,8203.56,387,197.45,On Time,A3
WN6482,Southwest Airlines,Los Angeles International,Bīleh Savār,Iran,3:27 AM,Denver International,Gowa,Indonesia,7,WN,HSP,AIZ,5/1/2022,8:44 PM,1462.82,236,290.12,Cancelled,A3
EK5011,Emirates,Dubai International,Kamuli,Uganda,6:57 AM,Suvarnabhumi,Heichengzi,China,4,EK,TCC,SLG,4/2/2022,9:13 PM,4599.71,269,87.3,On Time,C3
WN5430,Southwest Airlines,Los Angeles International,Dingqing,China,3:27 PM,San Francisco International,Kruisfontein,South Africa,8,WN,VDA,CAR,6/26/2022,9:00 PM,1710.77,382,114.16,On Time,C4
NZ9667,Air New Zealand,Auckland Airport,Molde,Norway,12:20 AM,Hong Kong International,Nakatsugawa,Japan,15,NZ,YHS,OML,8/10/2022,11:46 AM,9730.8,264,262.51,On Time,A2
SQ7691,Singapore Airlines,Changi,Kandang Timur,Indonesia,2:57 PM,Copenhagen Airport,Pirg,Albania,8,SQ,GTO,YLV,4/27/2022,2:10 PM,746.31,379,357.26,On Time,B2
SA4382,South African Airways,O.R. Tambo International,Camacupa,Angola,5:31 AM,Charles de Gaulle,Kantemirovka,Russia,19,SA,PJC,MRX,12/11/2022,6:04 PM,4287.9,220,395.72,On Time,C3
AI3675,Air India,Indira Gandhi International,Atlanta,United States,2:59 AM,Chhatrapati Shivaji International,Hengjiang,China,18,AI,BBN,CYT,7/30/2022,4:54 AM,5694.91,286,76.36,On Time,A3
UA1028,United Airlines,Los Angeles International,Watuka,Indonesia,8:14 AM,San Francisco International,Palaífyto,Greece,9,UA,CMY,SVL,5/13/2022,2:44 PM,4786.2,129,329.08,Cancelled,A2
LA3329,LATAM Airlines,São Paulo/Guarulhos International,Obo,China,10:49 AM,Ministro Pistarini International,Tucdao,Philippines,17,LA,STL,BCH,2/25/2022,10:00 AM,2092.27,333,343.87,On Time,A2
SK8778,SAS Scandinavian,Copenhagen Airport,Seltjarnarnes,Iceland,10:54 AM,Kuala Lumpur International,Shimonoseki,Japan,16,SK,OGE,BQB,11/5/2022,1:28 PM,3411.55,359,107.02,On Time,B2
KL5452,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Pechenga,Russia,1:22 PM,Charles de Gaulle,Spassk-Dal’niy,Russia,20,KL,CUR,WNN,9/12/2022,1:35 PM,9881.4,353,332.53,On Time,A3
TG7327,Thai Airways,Suvarnabhumi,Arwād,Syria,7:44 PM,Changi,Arcos de Valdevez,Portugal,4,TG,WBQ,KRV,1/19/2022,11:54 PM,460.18,201,279.37,Delayed,C1
QR4365,Qatar Airways,Hamad International,Beloostrov,Russia,2:59 AM,Benito Juárez International,Meilin,China,19,QR,DGO,NKC,2/21/2022,7:53 PM,3856.17,339,148.48,On Time,C4
AV6783,Avianca,El Dorado International,Xinshancun,China,9:25 PM,O'Hare International,Valença,Brazil,11,AV,BWJ,MUI,9/16/2022,5:00 AM,9653.62,451,114.65,On Time,A3
AC5211,Air Canada,Toronto Pearson,Kallíthiron,Greece,5:33 PM,Dallas/Fort Worth International,Rada Tilly,Argentina,11,AC,SWN,IRK,12/17/2022,2:54 AM,4231.92,173,342.19,On Time,B2
QR9968,Qatar Airways,Hamad International,Cofimvaba,South Africa,11:47 PM,Bole International,Bastia,France,20,QR,VNS,BVV,9/2/2022,2:03 PM,914.64,88,309.49,Cancelled,C1
AC4014,Air Canada,Toronto Pearson,Da-an Sur,Philippines,2:04 PM,Hartsfield-Jackson Atlanta,Chignayhua,Peru,24,AC,HBH,BBP,8/29/2022,1:43 AM,5509.4,473,276.18,On Time,A2
KE1537,Korean Air,Incheon International,Baie-Comeau,Canada,4:00 PM,Changi,Bobo-Dioulasso,Burkina Faso,17,KE,TST,RVA,9/19/2022,9:38 PM,661.76,92,381.96,On Time,A3
AC3232,Air Canada,Toronto Pearson,Irákleia,Greece,6:08 AM,John F. Kennedy International,Pires do Rio,Brazil,20,AC,CLX,SUY,10/4/2022,2:54 PM,6828.96,214,66.32,Delayed,A1
AV6614,Avianca,El Dorado International,Baška Voda,Croatia,9:30 AM,O'Hare International,Miyazaki-shi,Japan,2,AV,ZTA,ROR,10/27/2022,5:30 AM,4516.69,296,375.06,Delayed,C4
SA2779,South African Airways,O.R. Tambo International,Vänersborg,Sweden,8:14 AM,Charles de Gaulle,Bailan,Philippines,21,SA,ZCO,PKE,11/23/2022,10:51 PM,7628.84,451,59.83,On Time,C2
BA4649,British Airways,Heathrow,Didou,China,7:04 AM,Charles de Gaulle,Semeljci,Croatia,23,BA,AUN,WWT,1/20/2022,1:16 PM,9667.27,316,291.54,On Time,B2
SA9741,South African Airways,O.R. Tambo International,Diriá,Nicaragua,11:47 AM,Charles de Gaulle,Pedro II,Brazil,13,SA,CYW,YQJ,1/5/2022,2:41 PM,5151.42,270,164.87,Delayed,C3
CX7274,Cathay Pacific,Hong Kong International,Kalkara,Malta,7:50 PM,Changi,El Ocotón,Honduras,16,CX,TGU,ALT,4/12/2022,5:22 PM,8059.81,121,371.81,On Time,C4
KE1824,Korean Air,Incheon International,Zouma,China,1:12 AM,Beijing Capital International,Simimbaan,Philippines,7,KE,XNA,TGT,4/26/2022,3:15 PM,9183.53,293,494.23,Delayed,B2
ET6237,Ethiopian Airlines,Bole International,Santa Bárbara d'Oeste,Brazil,6:51 PM,Frankfurt Airport,Cangzhou,China,1,ET,SXO,WGN,12/20/2022,5:51 PM,2191.17,200,341.05,On Time,A2
CX7596,Cathay Pacific,Hong Kong International,Osielec,Poland,1:33 PM,Leonardo da Vinci International,Guali,China,22,CX,GGC,YTY,9/6/2022,11:36 AM,7497.0,182,67.77,On Time,B2
KE5043,Korean Air,Incheon International,Xiabeisi,China,5:37 AM,Haneda,San Ramón,Uruguay,1,KE,KHT,TNK,12/26/2022,1:17 AM,7740.08,443,106.52,On Time,B2
IB4821,Iberia,Adolfo Suárez Madrid–Barajas,Maki,Japan,1:44 AM,Suvarnabhumi,Aţ Ţīrah,Palestinian Territory,2,IB,VPS,YFI,4/19/2022,12:14 AM,7261.15,471,430.2,On Time,A2
AC3914,Air Canada,Toronto Pearson,Jincheng,China,6:19 AM,Bole International,Barţa‘ah ash Sharqīyah,Palestinian Territory,22,AC,YKD,BFR,11/24/2022,10:12 PM,1272.91,441,185.1,Delayed,B1
LH1464,Lufthansa,Frankfurt Airport,Yŏng-dong,South Korea,5:59 AM,Charles de Gaulle,Xinjiebu,China,7,LH,LGQ,OUZ,3/16/2022,4:35 AM,5864.26,96,430.9,Delayed,B2
LH7515,Lufthansa,Frankfurt Airport,Babakankalong,Indonesia,3:33 PM,Charles de Gaulle,Bunisari,Indonesia,22,LH,SMA,FPO,2/16/2022,3:43 PM,4209.41,329,345.66,On Time,C1
DL5999,Delta Air Lines,John F. Kennedy International,Kabarnet,Kenya,10:43 AM,Los Angeles International,Hinlayagan Ilaud,Philippines,4,DL,JMK,PSO,7/14/2022,6:28 AM,9157.66,363,289.59,Delayed,A2
DL6886,Delta Air Lines,John F. Kennedy International,Colesberg,South Africa,5:04 PM,Bole International,Jundian,China,17,DL,XMG,QRO,3/8/2022,2:26 PM,2005.61,115,284.6,On Time,C1
ET3233,Ethiopian Airlines,Bole International,San Fernando,Philippines,3:29 PM,Hamad International,Trinidad,Peru,12,ET,HHI,KPA,11/22/2022,8:08 PM,2457.86,209,157.44,Delayed,C2
ET8685,Ethiopian Airlines,Bole International,Verenchanka,Ukraine,8:56 PM,Adolfo Suárez Madrid–Barajas,Tulsīpur,Nepal,3,ET,DIL,KAX,3/17/2022,2:53 AM,9746.92,212,482.04,On Time,C2
TG2024,Thai Airways,Suvarnabhumi,Minien East,Philippines,9:28 AM,Changi,Maracanã,Brazil,13,TG,TCW,DNI,3/11/2022,4:07 PM,2608.47,189,393.3,On Time,B1
QF1061,Qantas,Sydney Airport,Eslöv,Sweden,12:16 AM,Melbourne Airport,Lai Lai Bisi Kopan,Indonesia,3,QF,OSU,BTC,6/28/2022,11:44 PM,9143.83,90,470.28,On Time,A1
AM2579,Aeroméxico,Benito Juárez International,Huelkail,Indonesia,8:34 AM,Hartsfield-Jackson Atlanta,Nanqiao,China,19,AM,RCH,CEC,1/22/2022,9:53 AM,688.96,473,281.32,On Time,C4
CX9392,Cathay Pacific,Hong Kong International,Vila Nova,Portugal,3:54 AM,Changi,Riyadh,Saudi Arabia,22,CX,IAL,SBV,2/20/2022,10:20 AM,9180.9,414,497.66,On Time,B2
DL8642,Delta Air Lines,John F. Kennedy International,Prochnookopskaya,Russia,8:02 AM,Hartsfield-Jackson Atlanta,Thị Trấn Nước Hai,Vietnam,14,DL,JUH,HRT,1/5/2022,12:54 AM,3429.91,126,431.11,Delayed,A1
BA1044,British Airways,Heathrow,Kolsko,Poland,6:45 AM,Charles de Gaulle,Ogod,Philippines,18,BA,PVU,HCJ,12/8/2022,2:37 PM,5394.68,381,106.3,On Time,A1
TG5210,Thai Airways,Suvarnabhumi,Independencia,Mexico,2:58 AM,Beijing Capital International,Chŏngju,North Korea,13,TG,JCY,MEE,2/22/2022,6:03 AM,170.6,465,90.42,On Time,A3
KE6224,Korean Air,Incheon International,Irkliyevskaya,Russia,12:26 PM,Jomo Kenyatta International,Medenychi,Ukraine,4,KE,TGE,ELV,8/27/2022,1:58 AM,3843.64,97,279.65,On Time,B2
UA8201,United Airlines,Los Angeles International,Juzhen,China,8:06 AM,San Francisco International,Wąsosz,Poland,22,UA,STS,MGP,3/30/2022,2:57 PM,910.11,172,144.67,Cancelled,A3
ET6593,Ethiopian Airlines,Bole International,Si Bun Rueang,Thailand,7:54 PM,Changi,Leping,China,23,ET,OSN,CAV,9/4/2022,10:42 AM,517.38,455,338.58,On Time,C3
SQ6766,Singapore Airlines,Changi,Vale Maceiras,Portugal,12:29 AM,Beijing Capital International,Chojata,Peru,15,SQ,STE,DCA,11/15/2022,5:13 AM,988.47,218,330.02,Delayed,C2
NH2891,All Nippon Airways,Haneda,Liangyaping,China,6:45 PM,Incheon International,Corupá,Brazil,16,NH,0,DLH,1/14/2022,6:38 PM,2238.99,311,311.88,On Time,C4
QF4565,Qantas,Sydney Airport,Eha Amufu,Nigeria,8:26 PM,Melbourne Airport,Arue,French Polynesia,8,QF,LSX,MRU,3/1/2022,11:14 AM,1353.79,371,375.12,On Time,C1
AV5027,Avianca,El Dorado International,Hamberang Sabrang,Indonesia,4:16 PM,O'Hare International,Talldaww,Syria,17,AV,MEE,MWV,11/4/2022,5:52 AM,1710.31,223,168.68,On Time,A2
KE4411,Korean Air,Incheon International,Skrzyszów,Poland,5:58 AM,Munich Airport,Al Jamālīyah,Egypt,17,KE,WBD,EBD,11/11/2022,2:17 PM,6765.99,484,233.18,On Time,A1
LH3591,Lufthansa,Frankfurt Airport,Opechenskiy Posad,Russia,3:47 PM,Charles de Gaulle,Hägersten,Sweden,14,LH,DVD,KAL,10/13/2022,6:45 PM,5345.68,81,358.55,On Time,B1
AV9867,Avianca,El Dorado International,Ōi,Japan,2:00 AM,Miami International,La Purisima,Mexico,2,AV,ASN,IXC,9/21/2022,1:11 AM,181.83,92,295.96,Delayed,A1
AA1923,American Airlines,John F. Kennedy International,Pancoran,Indonesia,11:38 PM,Hartsfield-Jackson Atlanta,Hoboksar,China,9,AA,HVG,LRJ,11/2/2022,4:09 PM,2066.39,353,435.5,On Time,A1
KL3341,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Butahai,China,2:31 PM,Adolfo Suárez Madrid–Barajas,Atbasar,Kazakhstan,22,KL,GOI,NDJ,11/13/2022,10:57 PM,8444.62,287,172.33,Cancelled,A2
NZ4284,Air New Zealand,Auckland Airport,Liufeng,China,1:35 AM,Beijing Capital International,Nanfeng,China,12,NZ,KEP,STP,4/11/2022,8:58 PM,103.41,445,354.12,On Time,C1
LA7789,LATAM Airlines,São Paulo/Guarulhos International,Blantyre,Malawi,7:04 PM,Ministro Pistarini International,Chimanimani,Zimbabwe,12,LA,BAM,IDO,9/3/2022,7:52 AM,8799.61,396,430.58,Delayed,C2
CX7552,Cathay Pacific,Hong Kong International,Pingshan,China,4:10 AM,Changi,Malvinas Argentinas,Argentina,12,CX,SIE,CFF,6/28/2022,3:11 PM,442.55,223,439.11,On Time,C4
